0.5	4	2.5	1 · Ask in plain language — semantic search across 800+ books
4	14	7	1 · Ask in plain language — semantic search across 800+ books
15	23	1.6	2 · Results as a 3D cover flow — spin, pick a book
24	26.5	1.6	2 · Open — the real book, in Calibre
33	36	3	3 · Click a cover → book card
36.5	39.5	1.1	3 · Click a cover → book card
46	52.5	2.8	4 · Search inside the book…
52.5	72	12	4 · Search inside the book…
72.5	76	1.15	4 · …exact passage, with its location
84.5	89	3	5 · Figures 14-6 and 14-7, please
89	98	9	5 · Figures 14-6 and 14-7, please
101	104.5	1.2	5 · Figure viewer — zoom & pan
109	112.5	1.2	5 · Figure viewer — zoom & pan
